__________________________________________________________________________________________________
Layer (type)                    Output Shape         Param #     Connected to
==================================================================================================
frames (InputLayer)             (None, 84, 84, 4)    0
__________________________________________________________________________________________________
normalization (Lambda)          (None, 84, 84, 4)    0           frames[0][0]
__________________________________________________________________________________________________
conv2d_1 (Conv2D)               (None, 20, 20, 16)   4112        normalization[0][0]
__________________________________________________________________________________________________
conv2d_2 (Conv2D)               (None, 9, 9, 32)     8224        conv2d_1[0][0]
__________________________________________________________________________________________________
flatten_1 (Flatten)             (None, 2592)         0           conv2d_2[0][0]
__________________________________________________________________________________________________
dense_1 (Dense)                 (None, 256)          663808      flatten_1[0][0]
__________________________________________________________________________________________________
dense_2 (Dense)                 (None, 3)            771         dense_1[0][0]
__________________________________________________________________________________________________
action_mask (InputLayer)        (None, 3)            0
__________________________________________________________________________________________________
QValue (Multiply)               (None, 3)            0           dense_2[0][0]
                                                                 action_mask[0][0]
==================================================================================================
Total params: 676,915
Trainable params: 676,915
Non-trainable params: 0
__________________________________________________________________________________________________
state: epsiode, episode: 0, score: 0.0, global_step_count: 119, avg loss: 0.0, step: 119, memory length: 119
state: epsiode, episode: 1, score: 2.0, global_step_count: 313, avg loss: 0.0, step: 194, memory length: 313
state: epsiode, episode: 2, score: 0.0, global_step_count: 440, avg loss: 0.0, step: 127, memory length: 440
state: epsiode, episode: 3, score: 0.0, global_step_count: 536, avg loss: 0.0, step: 96, memory length: 536
state: epsiode, episode: 4, score: 0.0, global_step_count: 651, avg loss: 0.0, step: 115, memory length: 651
state: epsiode, episode: 5, score: 1.0, global_step_count: 780, avg loss: 0.0, step: 129, memory length: 780
state: epsiode, episode: 6, score: 1.0, global_step_count: 960, avg loss: 0.0, step: 180, memory length: 960
state: epsiode, episode: 7, score: 0.0, global_step_count: 1075, avg loss: 0.0, step: 115, memory length: 1075
state: epsiode, episode: 8, score: 0.0, global_step_count: 1179, avg loss: 0.0, step: 104, memory length: 1179
state: epsiode, episode: 9, score: 0.0, global_step_count: 1307, avg loss: 0.0, step: 128, memory length: 1307
state: epsiode, episode: 10, score: 0.0, global_step_count: 1428, avg loss: 0.0, step: 121, memory length: 1428
state: epsiode, episode: 11, score: 1.0, global_step_count: 1594, avg loss: 0.0, step: 166, memory length: 1594
state: epsiode, episode: 12, score: 1.0, global_step_count: 1755, avg loss: 0.0, step: 161, memory length: 1755
state: epsiode, episode: 13, score: 1.0, global_step_count: 1902, avg loss: 0.0, step: 147, memory length: 1902
state: epsiode, episode: 14, score: 0.0, global_step_count: 2006, avg loss: 0.0, step: 104, memory length: 2006
state: epsiode, episode: 15, score: 1.0, global_step_count: 2161, avg loss: 0.0, step: 155, memory length: 2161
state: epsiode, episode: 16, score: 2.0, global_step_count: 2329, avg loss: 0.0, step: 168, memory length: 2329
state: epsiode, episode: 17, score: 1.0, global_step_count: 2474, avg loss: 0.0, step: 145, memory length: 2474
state: epsiode, episode: 18, score: 1.0, global_step_count: 2607, avg loss: 0.0, step: 133, memory length: 2607
state: epsiode, episode: 19, score: 1.0, global_step_count: 2761, avg loss: 0.0, step: 154, memory length: 2761
state: epsiode, episode: 20, score: 0.0, global_step_count: 2876, avg loss: 0.0, step: 115, memory length: 2876
state: epsiode, episode: 21, score: 1.0, global_step_count: 3009, avg loss: 0.0, step: 133, memory length: 3009
state: epsiode, episode: 22, score: 3.0, global_step_count: 3241, avg loss: 0.0, step: 232, memory length: 3241
state: epsiode, episode: 23, score: 1.0, global_step_count: 3411, avg loss: 0.0, step: 170, memory length: 3411
state: epsiode, episode: 24, score: 0.0, global_step_count: 3520, avg loss: 0.0, step: 109, memory length: 3520
state: epsiode, episode: 25, score: 2.0, global_step_count: 3693, avg loss: 0.0, step: 173, memory length: 3693
state: epsiode, episode: 26, score: 0.0, global_step_count: 3805, avg loss: 0.0, step: 112, memory length: 3805
state: epsiode, episode: 27, score: 1.0, global_step_count: 3967, avg loss: 0.0, step: 162, memory length: 3967
state: epsiode, episode: 28, score: 1.0, global_step_count: 4133, avg loss: 0.0, step: 166, memory length: 4133
state: epsiode, episode: 29, score: 0.0, global_step_count: 4251, avg loss: 0.0, step: 118, memory length: 4251
state: epsiode, episode: 30, score: 0.0, global_step_count: 4374, avg loss: 0.0, step: 123, memory length: 4374
state: epsiode, episode: 31, score: 2.0, global_step_count: 4552, avg loss: 0.0, step: 178, memory length: 4552
state: epsiode, episode: 32, score: 3.0, global_step_count: 4772, avg loss: 0.0, step: 220, memory length: 4772
state: epsiode, episode: 33, score: 1.0, global_step_count: 4922, avg loss: 0.0, step: 150, memory length: 4922
state: epsiode, episode: 34, score: 1.0, global_step_count: 5089, avg loss: 0.0, step: 167, memory length: 5089
state: epsiode, episode: 35, score: 1.0, global_step_count: 5265, avg loss: 0.0, step: 176, memory length: 5265
state: epsiode, episode: 36, score: 0.0, global_step_count: 5380, avg loss: 0.0, step: 115, memory length: 5380
state: epsiode, episode: 37, score: 2.0, global_step_count: 5574, avg loss: 0.0, step: 194, memory length: 5574
state: epsiode, episode: 38, score: 1.0, global_step_count: 5719, avg loss: 0.0, step: 145, memory length: 5719
state: epsiode, episode: 39, score: 1.0, global_step_count: 5861, avg loss: 0.0, step: 142, memory length: 5861
state: epsiode, episode: 40, score: 1.0, global_step_count: 6007, avg loss: 0.0, step: 146, memory length: 6007
state: epsiode, episode: 41, score: 1.0, global_step_count: 6153, avg loss: 0.0, step: 146, memory length: 6153
state: epsiode, episode: 42, score: 4.0, global_step_count: 6399, avg loss: 0.0, step: 246, memory length: 6399
